YEAR,SEX,RANKING_REF_YEAR,GIVEN_NAME,NUMBER
2011,2,48,Nora,25
2011,2,49,Alexandra,24
2011,2,49,Larissa,24
2011,2,49,Lejla,24
2011,2,52,Antonia,23
2011,2,52,Celina,23
2011,2,52,Ella,23
2011,2,55,Michaela,22
2011,2,55,Zoe,22
2011,2,57,Anna-Lena,21
2011,2,58,Alice,20
2011,2,58,Diana,20
2011,2,58,Juliane,20
2011,2,58,Marlies,20
2011,2,58,Melanie,20
2010,1,1,Lukas,316
2010,1,2,Jonas,198
2010,1,3,Tobias,191
2010,1,4,David,190
2010,1,5,Alexander,179
2010,1,6,Simon,169
2010,1,7,Maximilian,164
2010,1,8,Florian,150
2010,1,8,Jakob,150
2010,1,10,Niklas,143
2010,1,11,Paul,142
2010,1,12,Elias,135
2010,1,13,Fabian,130
2010,1,14,Felix,125
2010,1,15,Leon,120
2010,1,15,Sebastian,120
2010,1,17,Julian,109
2010,1,18,Moritz,108
2010,1,19,Daniel,101
2010,1,19,Nico,101
2010,1,21,Lorenz,95
2010,1,21,Matthias,95
2010,1,21,Michael,95
2010,1,21,Raphael,95
2010,1,25,Philipp,90
2010,1,26,Johannes,85
2010,1,27,Samuel,84
2010,1,28,Markus,75
2010,1,29,Dominik,58
2010,1,30,Valentin,56
2010,1,31,Manuel,55
2010,1,32,Benjamin,54
2010,1,32,Jan,54
2010,1,34,Gabriel,53
2010,1,34,Marcel,53
2010,1,36,Noah,52
2010,1,37,Andreas,50
2010,1,38,Leonhard,47
2010,1,39,Stefan,43
2010,1,40,Kilian,41
2010,1,41,Jonathan,39
2010,1,41,Martin,39
2010,1,43,Thomas,38
2010,1,44,Leo,37
2010,1,45,Jannik,36
2010,1,46,Christian,35
2010,1,46,Christoph,35
2010,1,46,Matteo,35
2010,1,49,Clemens,34
2010,1,49,Muhammed,34
2010,1,51,Tim,33
2010,1,52,Adrian,31
2010,1,53,Konstantin,30
2010,1,54,Emil,29
2010,1,54,Fabio,29
2010,1,56,Josef,28
2010,1,56,Luis,28
2010,1,58,Timo,27
2010,1,59,Xaver,26
2010,1,60,Max,25
2010,1,60,Vincent,25
2010,2,1,Anna,445
2010,2,2,Maria,204
2010,2,3,Lena,201
2010,2,4,Sophie,186
2010,2,5,Sarah,174
2010,2,6,Emilia,153
2010,2,7,Elena,149
2010,2,8,Julia,121
2010,2,9,Laura,116
2010,2,10,Lea,115
2010,2,10,Leonie,115
2010,2,12,Lisa,107
2010,2,13,Emma,96
2010,2,14,Johanna,93
2010,2,14,Katharina,93
2010,2,16,Lara,91
2010,2,17,Magdalena,83
2010,2,17,Mia,83
2010,2,19,Marlene,79
2010,2,19,Viktoria,79
2010,2,21,Luisa,69
2010,2,22,Chiara,68
2010,2,22,Isabella,68
2010,2,24,Valentina,65
2010,2,25,Alina,58
2010,2,26,Amelie,57
2010,2,26,Annika,57
2010,2,26,Theresa,57
2010,2,29,Franziska,53
2010,2,30,Selina,52
2010,2,31,Vanessa,51
2010,2,32,Nina,50
2010,2,33,Christina,49
2010,2,34,Eva,48
2010,2,34,Jasmin,48
2010,2,36,Pia,47
2010,2,37,Caroline,43
2010,2,38,Lilly,42
2010,2,38,Nora,42
2010,2,40,Larissa,37
2010,2,40,Lina,37
2010,2,40,Maja,37
2010,2,43,Anja,35
2010,2,43,Melissa,35
2010,2,45,Carina,31
2010,2,46,Elisa,30
2010,2,47,Michaela,28
2010,2,48,Antonia,27
2010,2,48,Celina,27
2010,2,48,Ella,27
2010,2,48,Melanie,27
2010,2,48,Paula,27
2010,2,53,Alice,26
2010,2,54,Anna-Lena,25
2010,2,55,Natalie,24
2010,2,56,Lejla,23
2010,2,57,Elisabeth,22
2010,2,57,Linda,22
2010,2,57,Paulina,22
2010,2,57,Ronja,22
